2488.000000,15,18
2488.000000,0,1
2488.000000,33,34
2488.000000,32,33
2488.000000,39,40
2488.000000,25,26
2488.000000,12,14
2488.000000,18,20
2488.000000,43,44
2488.000000,19,22
2488.000000,41,40
2488.000000,44,45
2488.000000,32,31
2488.000000,17,18
2488.000000,18,19
2488.000000,18,21
2488.000000,8,10
2488.000000,12,13
2488.000000,29,30
2488.000000,35,37
2488.000000,15,9
2488.000000,41,36
2488.000000,42,43
2488.000000,15,17
2488.000000,4,5
2488.000000,17,19
2488.000000,41,37
2488.000000,39,21
2488.000000,23,22
2488.000000,0,2
2488.000000,7,8
2488.000000,28,20
2488.000000,35,36
2488.000000,4,7
2488.000000,28,29
2488.000000,31,30
2488.000000,23,25
2488.000000,1,42
2488.000000,42,6
2488.000000,38,14
2488.000000,26,27
2488.000000,40,37
2488.000000,3,4
2488.000000,7,9
2488.000000,27,28
2488.000000,35,34
2488.000000,10,12
2488.000000,36,38
2488.000000,11,5
2488.000000,15,16
2488.000000,2,3
2488.000000,23,24
2488.000000,10,11
2488.000000,4,6
2488.000000,45,13
