0,37.775196,-122.419204,744041
1,40.771592,-111.888189,178858
2,39.755092,-104.988123,566974
3,39.090432,-94.583653,447306
4,41.879535,-87.624333,2833321
5,42.330165,-83.045913,871121
6,41.499713,-81.693716,444313
7,40.438355,-80.001983,312819
8,38.892091,-77.024055,581530
9,39.286534,-76.613558,631366
10,39.951639,-75.163808,1448394
11,40.757929,-73.985506,8214426
12,47.620716,-122.347533,582454
13,45.523104,-122.670132,537081
14,38.573659,-121.487147,453781
15,34.052187,-118.243425,3849378
16,36.233048,-115.246776,552539
17,32.718834,-117.163841,1256951
18,33.448263,-112.073821,1512986
19,29.425037,-98.493722,1296682
20,30.268735,-97.745209,709893
21,29.759956,-95.362534,2144491
22,32.781078,-96.797111,1232940
23,30.042487,-90.025126,223388
24,32.754920,-97.330335,653320
25,33.754487,-84.389663,486411
26,38.627522,-90.198410,347181
27,27.981460,-82.451142,332888
28,25.774252,-80.190262,404048
29,28.553154,-81.364438,220186
30,35.231402,-80.845841,630478
31,35.779748,-78.643414,356321
32,37.540778,-77.433928,192913
33,38.940575,-77.174720,436619
34,42.358880,-71.056820,590763
35,44.977482,-93.264351,372833
36,36.158880,-86.782097,552120
